	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
YKL037W	382	295	335	421	281	458	107	80	67	62	89	106
YKL042W	397	285	306	530	247	547	285	199	151	172	228	247
YKR020W	400	312	220	549	289	532	296	273	206	179	242	274
YKL012W	1145	531	539	1355	639	1101	683	667	427	425	645	743
YKL106W	521	306	365	548	325	467	352	267	232	232	264	450
YKR075C	4949	4540	4939	6793	3408	6849	4158	3032	1907	2537	2458	4977
YKR065C	793	903	767	1090	749	951	800	662	646	615	697	951
YKL043W	975	1065	1091	1202	711	1014	1846	1594	1135	1697	1414	3218
YKL045W	885	666	662	1048	577	828	329	357	228	289	366	453
YKR060W	103	64	61	142	67	112	212	138	64	136	114	208
YKL085W	3290	3636	3178	3558	2559	2805	2059	2417	2685	2291	2438	3112
YKL165C	531	258	298	635	350	497	457	446	259	302	396	528
YKL003C	435	344	340	505	309	524	398	299	248	281	289	425
YKL072W	440	246	291	549	282	438	312	332	165	253	259	396
YKL177W	2	0	2	3	1	3	0	0	0	0	1	0
YKL186C	808	843	859	1092	569	992	622	518	472	489	532	726
snR64	17	15	9	13	10	19	20	6	16	16	13	31
