	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YDR140W	1004	1333	1014
YDR381W	10285	14673	11738
tQ(UUG)D2	0	0	1
YDR327W	361	654	542
YDR062W	9883	14837	11332
YDR143C	2568	3995	3082
YDL172C	0	0	0
YDL053C	1588	2359	1777
YDR223W	305	436	334
YDL037C	2948	4145	4096
YDL167C	4861	6743	5575
YDR246W-A	42	61	49
YDR371C-A	0	0	0
YDR517W	2758	4389	3497
YDL226C	4703	6689	5476
YDR467C	75	97	79
YDL134C	4067	5516	4581
YDR117C	2478	3372	2743
YDR314C	1069	1483	1129
YDR440W	1517	2226	1739
YDR303C	5139	7289	5850
YDL078C	4686	6956	5110
YDL238C	700	994	748
YDR529C	3109	4027	3514
YDR437W	178	280	237
snR47	160	208	262
YDL196W	53	84	62
YDR452W	5055	7426	5770
YDR445C	0	0	0
YDR347W	2405	3553	2521
tQ(UUG)D1	3	0	0
YDR490C	1712	2391	1969
YDR516C	2443	3951	3063
YDR509W	0	2	2
YDL193W	1920	2959	2125
YDL137W	6891	10506	8162
YDL118W	6	10	8
YDR235W	1649	2153	1776
YDR233C	13396	20622	16313
YDR388W	7398	8957	8243
YDR209C	1001	1141	936
YDR049W	1485	2394	1892
YDL194W	632	1020	807
YDR021W	1154	1637	1307
YDR353W	13978	20701	15923
YDR051C	1337	1760	1473
YDR288W	887	1251	881
YDR141C	6879	10399	8197
YDR194C	8111	13165	8839
YDR424C	495	818	678
YDR054C	2858	4052	3386
YDR122W	4756	6718	5257
YDR184C	1553	2272	1818
YDR183C-A	143	173	144
YDL240W	2256	3358	2779
YDR056C	2049	2846	2271
YDR541C	642	921	728
YDL042C	876	1337	1103
YDR185C	335	497	431
YDR328C	1620	2279	1930
YDR280W	1900	3003	2427
tV(UAC)D	12	24	32
YDR098C	2921	4348	3435
YDR005C	1619	2367	1964
YDR423C	1424	1919	1541
YDR017C	4885	7181	5610
YDR419W	932	1434	1110
YDR444W	1208	1887	1413
YDR341C	19221	26353	20837
YDR154C	646	789	701
YDR464W	3760	5522	4501
YDR132C	615	1000	730
YDL210W	170	201	186
YDR395W	13261	18591	14429
YDL222C	132	235	171
YDR372C	4822	6596	5199
YDR325W	2681	4037	3022
YDR216W	3067	4280	2911
YDR082W	680	956	740
YDL224C	2794	4195	3306
YDR498C	1167	1729	1432
YDR010C	14	27	23
YDR006C	4720	7207	5898
YDR182W	3038	4188	3190
YDL102W	3384	4993	3880
YDL179W	1360	1793	1497
YDL067C	1727	2009	2083
YDR030C	329	501	426
YDR020C	631	902	724
YDR527W	1785	2466	1829
YDR333C	3279	4744	3627
YDL093W	1883	3004	2377
YDL043C	728	1028	740
YDR139C	1228	1498	1263
YDR322C-A	1010	1333	1142
YDL130W-A	366	539	469
YDR210W	0	0	0
YDR260C	444	669	593
YDL017W	655	902	712
YDR073W	944	1292	1074
YDL069C	280	339	287
YDR455C	5	9	9
YDR461W	1729	2335	2510
YDR435C	857	1237	963
YDL063C	4333	6474	4788
YDR121W	1212	1494	1252
YDR178W	1184	1608	1426
YDL013W	1413	2072	1585
YDR534C	178	313	231
YDR392W	855	1425	1005
YDR034C-A	12	23	31
YDL132W	5421	7636	5914
YDR535C	81	103	96
YDR202C	660	1101	868
YDL050C	13	21	21
YDR524C-A	0	0	0
YDL109C	621	876	685
YDR211W	8809	12205	8896
YDR110W	1580	2269	1826
tG(CCC)D	3	0	2
YDR274C	167	296	244
YDR167W	1090	1507	1246
YDR156W	1180	1251	1344
YDL223C	1045	1618	1167
YDR075W	962	1512	1154
YDR039C	0	2	5
YDL088C	2519	3618	2967
YDL129W	953	1392	1113
YDL215C	3785	5281	3581
YDR297W	4562	6108	6266
YDR131C	642	898	739
YDR230W	15	6	9
YDR348C	2831	4296	3395
YDL169C	95	164	97
YDR007W	594	953	764
YDL195W	17870	26213	22004
